epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.666,1.37232,2.16348,1.72218,0.39447,0.88235,0.7782,0.41787,1.09249,3.22887,1.77859,0.00056,0.00056,0.00056
2,335.794,1.3556,1.83005,1.69224,0.77334,0.67737,0.74129,0.32349,1.64909,3.09125,2.441,0.00111743,0.00111743,0.00111743
3,485.839,1.42268,1.69469,1.72699,0.23588,0.33088,0.15594,0.04907,2.26037,3.55825,3.43138,0.00165189,0.00165189,0.00165189
4,685.53,1.46313,1.61982,1.72889,0.37515,0.71959,0.45778,0.18095,1.87382,3.32694,2.48006,0.0018812,0.0018812,0.0018812
5,824.739,1.48676,1.55775,1.7493,0.73891,0.65441,0.73502,0.31195,1.75791,2.02419,2.27351,0.0018416,0.0018416,0.0018416
6,989.008,1.43822,1.47394,1.69942,0.62163,0.49265,0.53535,0.18308,1.97617,2.70216,2.82184,0.001802,0.001802,0.001802
7,1126.42,1.45847,1.39126,1.71672,0.67305,0.68115,0.69388,0.29071,2.01527,2.24741,2.74703,0.0017624,0.0017624,0.0017624
8,1264.89,1.44366,1.34791,1.67119,0.87403,0.82353,0.8877,0.42406,1.68081,2.72503,2.46765,0.0017228,0.0017228,0.0017228
9,1406.06,1.38044,1.23724,1.63909,0.91679,0.81012,0.90441,0.45342,1.92921,1.87405,2.43044,0.0016832,0.0016832,0.0016832
10,1543.1,1.3819,1.23037,1.64443,0.88245,0.81618,0.88562,0.48345,1.57346,1.70929,2.10832,0.0016436,0.0016436,0.0016436
11,1678.69,1.35337,1.18175,1.62196,0.88858,0.82353,0.8928,0.53389,1.37579,2.12438,2.01017,0.001604,0.001604,0.001604
12,1814.19,1.37778,1.14998,1.60646,0.89417,0.84559,0.90414,0.51501,1.48745,1.6459,1.85806,0.0015644,0.0015644,0.0015644
13,1948.99,1.33025,1.17866,1.60822,0.84267,0.78768,0.87431,0.47849,1.62059,1.53213,2.09077,0.0015248,0.0015248,0.0015248
14,2086.46,1.2916,1.04881,1.57945,0.79044,0.81618,0.87577,0.48591,1.69502,1.1923,2.16291,0.0014852,0.0014852,0.0014852
15,2246.5,1.28943,1.05239,1.59499,0.88881,0.875,0.9253,0.49326,1.75101,1.31813,2.23667,0.0014456,0.0014456,0.0014456
16,2415.94,1.23946,0.97281,1.5244,0.85621,0.8757,0.93524,0.55509,1.57036,1.39558,1.93653,0.001406,0.001406,0.001406
17,2580.53,1.23469,0.98596,1.52151,0.8592,0.86765,0.9088,0.57004,1.27756,1.30737,1.77516,0.0013664,0.0013664,0.0013664
18,2746.94,1.25282,1.00081,1.53416,0.87913,0.83824,0.89878,0.48957,1.54806,1.45995,2.05554,0.0013268,0.0013268,0.0013268
19,2892.22,1.2409,0.97591,1.5166,0.88486,0.91912,0.94681,0.58364,1.34575,1.33279,1.72177,0.0012872,0.0012872,0.0012872
20,3028.73,1.18686,0.88332,1.47798,0.90239,0.84559,0.93258,0.53306,1.36085,1.14053,1.82404,0.0012476,0.0012476,0.0012476
